dates,ppt,tmax,tmean,tmin
1895-01-01,238.44000244140625,10.420000076293945,6.625,2.8299999237060547
1895-02-01,61.02000045776367,16.0,10.239999771118164,4.480000019073486
1895-03-01,50.38999938964844,16.360000610351562,10.46500015258789,4.570000171661377
1895-04-01,33.93000030517578,20.440000534057617,13.470000267028809,6.5
1895-05-01,22.579999923706055,23.459999084472656,16.614999771118164,9.770000457763672
1895-06-01,0.0,30.90999984741211,22.040000915527344,13.170000076293945
1895-07-01,2.490000009536743,30.639999389648438,22.399999618530273,14.15999984741211
1895-08-01,2.430000066757202,32.0,23.03499984741211,14.069999694824219
1895-09-01,44.209999084472656,26.149999618530273,18.094999313354492,10.039999961853027
1895-10-01,3.25,26.059999465942383,17.915000915527344,9.770000457763672
1895-11-01,41.369998931884766,17.110000610351562,10.480000495910645,3.8499999046325684
1895-12-01,46.97999954223633,11.199999809265137,6.409999847412109,1.6200000047683716
1896-01-01,241.08999633789062,13.520000457763672,9.21500015258789,4.909999847412109
1896-02-01,10.399999618530273,17.040000915527344,10.745000839233398,4.449999809265137
1896-03-01,58.4900016784668,16.469999313354492,11.354999542236328,6.239999771118164
1896-04-01,108.2300033569336,15.710000038146973,10.180000305175781,4.650000095367432
1896-05-01,34.22999954223633,21.170000076293945,14.59000015258789,8.010000228881836
1896-06-01,0.0,30.43000030517578,21.80500030517578,13.180000305175781
1896-07-01,1.2200000286102295,33.41999816894531,24.98499870300293,16.549999237060547
1896-08-01,6.21999979019165,30.989999771118164,22.454999923706055,13.920000076293945
1896-09-01,14.979999542236328,27.770000457763672,19.860000610351562,11.949999809265137
1896-10-01,23.75,25.3799991607666,17.329999923706055,9.279999732971191
1896-11-01,102.29000091552734,15.220000267028809,9.845000267028809,4.46999979019165
1896-12-01,77.19000244140625,14.039999961853027,9.369999885559082,4.699999809265137
1897-01-01,89.7300033569336,11.119999885559082,6.885000228881836,2.6500000953674316
1897-02-01,154.4199981689453,11.970000267028809,7.755000114440918,3.5399999618530273
1897-03-01,61.08000183105469,12.970000267028809,7.755000114440918,2.5399999618530273
1897-04-01,9.579999923706055,23.579999923706055,15.494999885559082,7.409999847412109
1897-05-01,8.479999542236328,27.81999969482422,19.469999313354492,11.119999885559082
1897-06-01,9.270000457763672,27.65999984741211,20.029998779296875,12.399999618530273
1897-07-01,0.0,32.630001068115234,24.25,15.869999885559082
1897-08-01,0.20999999344348907,32.709999084472656,23.559999465942383,14.40999984741211
1897-09-01,1.9600000381469727,27.889999389648438,19.825000762939453,11.760000228881836
1897-10-01,48.93000030517578,22.940000534057617,15.545000076293945,8.149999618530273
1897-11-01,35.720001220703125,15.4399995803833,9.644999504089355,3.8499999046325684
1897-12-01,54.2400016784668,12.569999694824219,7.009999752044678,1.4500000476837158
1898-01-01,25.600000381469727,10.529999732971191,4.730000019073486,-1.0700000524520874
1898-02-01,103.20999908447266,14.680000305175781,9.595000267028809,4.510000228881836
1898-03-01,11.0,16.329999923706055,9.329999923706055,2.3299999237060547
1898-04-01,6.300000190734863,23.809999465942383,15.309999465942383,6.809999942779541
1898-05-01,38.33000183105469,22.18000030517578,15.180000305175781,8.180000305175781
1898-06-01,1.9700000286102295,29.1200008392334,20.764999389648438,12.40999984741211
1898-07-01,0.0,33.34000015258789,24.119998931884766,14.899999618530273
1898-08-01,0.0,32.849998474121094,23.68000030517578,14.510000228881836
1898-09-01,12.760000228881836,28.579999923706055,20.244998931884766,11.90999984741211
1898-10-01,18.299999237060547,23.860000610351562,16.200000762939453,8.539999961853027
1898-11-01,22.700000762939453,17.190000534057617,10.52500057220459,3.859999895095825
1898-12-01,38.70000076293945,12.380000114440918,6.559999942779541,0.7400000095367432
1899-01-01,133.5800018310547,13.130000114440918,8.170000076293945,3.2100000381469727
1899-02-01,17.600000381469727,15.520000457763672,8.755000114440918,1.9900000095367432
1899-03-01,144.64999389648438,15.020000457763672,9.864999771118164,4.710000038146973
1899-04-01,10.520000457763672,21.020000457763672,13.710000038146973,6.400000095367432
1899-05-01,27.360000610351562,21.670000076293945,14.430000305175781,7.190000057220459
1899-06-01,9.170000076293945,30.770000457763672,21.704999923706055,12.640000343322754
1899-07-01,0.0,33.869998931884766,23.844999313354492,13.819999694824219
1899-08-01,3.569999933242798,29.149999618530273,20.510000228881836,11.869999885559082
1899-09-01,1.0700000524520874,32.560001373291016,22.540000915527344,12.520000457763672
1899-10-01,78.0999984741211,21.280000686645508,14.59000015258789,7.900000095367432
1899-11-01,103.31999969482422,15.949999809265137,11.600000381469727,7.25
1899-12-01,100.5999984741211,11.470000267028809,7.200000286102295,2.930000066757202
1900-01-01,89.73999786376953,13.109999656677246,8.914999961853027,4.71999979019165
1900-02-01,28.739999771118164,14.920000076293945,9.270000457763672,3.619999885559082
1900-03-01,49.650001525878906,19.010000228881836,12.690000534057617,6.369999885559082
1900-04-01,39.08000183105469,19.139999389648438,12.394999504089355,5.650000095367432
1900-05-01,35.0,24.93000030517578,17.295000076293945,9.65999984741211
1900-06-01,2.259999990463257,30.290000915527344,21.604999542236328,12.920000076293945
1900-07-01,0.0,33.4900016784668,24.010000228881836,14.529999732971191
1900-08-01,0.0,30.280000686645508,21.440000534057617,12.600000381469727
1900-09-01,5.340000152587891,26.790000915527344,18.755001068115234,10.720000267028809
1900-10-01,42.970001220703125,21.459999084472656,14.875,8.289999961853027
1900-11-01,112.69000244140625,17.5,12.109999656677246,6.71999979019165
1900-12-01,47.22999954223633,12.319999694824219,7.789999961853027,3.259999990463257
