date,pet
2015-11-27,
2015-11-28,0.9831854750811143
2015-11-29,1.0482075180437007
2015-11-30,0.6973122270207128
2015-12-01,0.986122840528583
2015-12-02,0.693439879331072
2015-12-03,0.6537342836355348
2015-12-04,0.7999729446704533
2015-12-05,0.7656820837915134
2015-12-06,0.8640775417914033
2015-12-07,0.6153907222068277
2015-12-08,0.6971281078719891
2015-12-09,0.6413293635390911
2015-12-10,1.0439206968058816
2015-12-11,0.5908393051922824
2015-12-12,0.7405328769358793
2015-12-13,0.8829127947250767
2015-12-14,0.6572202292894209
2015-12-15,0.8622737037126179
2015-12-16,0.8717649355421273
2015-12-17,0.6622947069875886
2015-12-18,0.6040685874721882
2015-12-19,0.6493359012745957
2015-12-20,0.644554335073688
2015-12-21,0.7568349158865724
2015-12-22,0.9273448881159118
2015-12-23,0.6583275189143506
2015-12-24,0.5223428887284396
2015-12-25,0.5974219571410546
2015-12-26,0.8137986208911334
2015-12-27,0.5970438197816713
2015-12-28,0.6056246041267633
2015-12-29,0.8041460648969212
2015-12-30,0.7005096677600311
2015-12-31,0.850399974120757
2016-01-01,0.8501445292384925
2016-01-02,0.8186208394439968
2016-01-03,0.47950696530503256
2016-01-04,0.4667841466816248
2016-01-05,0.6251200173089526
2016-01-06,0.5408795472977824
2016-01-07,0.8140934471367458
2016-01-08,0.5139177965518693
2016-01-09,0.5722981961141358
2016-01-10,0.8764583405481154
2016-01-11,0.6175727955728769
2016-01-12,0.6397701436023101
2016-01-13,0.9072409058259037
2016-01-14,0.687379014636038
2016-01-15,0.8997740044158813
2016-01-16,0.981382079972883
2016-01-17,0.8459884173513911
2016-01-18,0.8945495061425767
2016-01-19,0.9632599780036065
2016-01-20,0.9830461814333985
2016-01-21,0.8941893951772011
2016-01-22,0.963274598269583
2016-01-23,0.5967854341685661
2016-01-24,0.9655831181967816
2016-01-25,0.8604662138058258
2016-01-26,1.3611837810662684
2016-01-27,1.441891172683978
2016-01-28,0.7082688432670313
2016-01-29,1.168194377459238
2016-01-30,0.9636747062544646
2016-01-31,0.9640580186887361
2016-02-01,0.9598752485465942
2016-02-02,1.0542141020586828
2016-02-03,0.7465966092870825
2016-02-04,1.1873848374874225
2016-02-05,1.5297938610935125
2016-02-06,1.7816368238312814
2016-02-07,2.535799168087911
2016-02-08,2.242633053533588
2016-02-09,2.0433692579970573
2016-02-10,1.9707866741619697
2016-02-11,1.8956868355910768
2016-02-12,1.6943012371618191
2016-02-13,1.8956920995548958
2016-02-14,2.0451330740659732
2016-02-15,2.240655166509451
2016-02-16,2.403634401631584
2016-02-17,1.8460575030698403
2016-02-18,1.0823447086389424
2016-02-19,0.945846013854302
2016-02-20,1.676783843274051
2016-02-21,1.840403989433535
2016-02-22,2.2300666044560695
2016-02-23,2.297413045472789
2016-02-24,2.070271143221428
2016-02-25,2.347418499078291
2016-02-26,1.7262150070521314
2016-02-27,1.761729292492623
2016-02-28,1.778815847477966
2016-02-29,2.3702413375263687
2016-03-01,1.4546665618213421
2016-03-02,1.6639346055444644
2016-03-03,1.8971222880404253
2016-03-04,1.6714337961179466
2016-03-05,1.529513980630254
2016-03-06,1.0561855731758316
2016-03-07,1.7382826900738364
2016-03-08,1.0966171971014576
2016-03-09,1.558521255158515
2016-03-10,1.0846515436901125
2016-03-11,1.459709915519969
2016-03-12,1.1528433436625611
2016-03-13,1.2463563526101265
2016-03-14,1.5970511731130848
2016-03-15,2.18867192497684
2016-03-16,3.1995599864667588
2016-03-17,2.578370587083094
2016-03-18,2.8812947270142057
2016-03-19,1.9519550736244986
2016-03-20,1.6257283822438318
2016-03-21,1.3533953908078376
2016-03-22,1.7631188542825613
2016-03-23,2.6542896661076676
2016-03-24,2.5177330465847576
2016-03-25,2.6865795598813853
2016-03-26,2.8754361178389347
2016-03-27,2.2083239076816
2016-03-28,2.3752097811600983
2016-03-29,2.833692627528696
2016-03-30,2.9730530626574314
2016-03-31,3.134599833344132
2016-04-01,3.411028214659864
2016-04-02,3.3996946898068887
2016-04-03,3.0376756757018395
2016-04-04,3.0023264479282723
2016-04-05,4.534405037546053
2016-04-06,4.734951666194543
2016-04-07,3.9726159219034543
2016-04-08,3.2813668448689826
2016-04-09,2.1926575629053198
2016-04-10,1.9781634184853811
2016-04-11,3.080104508261515
2016-04-12,2.2841549589248604
2016-04-13,2.8090897439764766
2016-04-14,1.9089301174049575
2016-04-15,3.3976802185684014
2016-04-16,4.861846936687912
2016-04-17,4.870315889763099
2016-04-18,4.492615780096814
2016-04-19,4.218962349036276
2016-04-20,3.361669845124943
2016-04-21,2.5512674876171872
2016-04-22,1.7639390156893058
2016-04-23,2.7092783368505238
2016-04-24,2.585856753812371
2016-04-25,3.0210077997316347
2016-04-26,3.095831708873875
2016-04-27,2.6593239575372056
2016-04-28,3.7973974597783116
2016-04-29,3.3548310153752934
2016-04-30,4.612338649498452
2016-05-01,4.4365492259664245
2016-05-02,3.756133669497059
2016-05-03,3.838276177435263
2016-05-04,3.9819059288514898
2016-05-05,2.411207060911796
2016-05-06,3.8266947881761006
2016-05-07,3.2171735402038495
2016-05-08,2.856323300708846
2016-05-09,4.061157096759898
2016-05-10,4.726407815521084
2016-05-11,4.682358395641699
2016-05-12,4.4972561728576785
2016-05-13,3.5707984818245646
2016-05-14,3.1898224374821647
2016-05-15,3.4248150425758013
2016-05-16,4.4986841485896125
2016-05-17,5.958133982340252
2016-05-18,5.845241458443291
2016-05-19,3.4779266508240774
2016-05-20,2.4932257146760213
2016-05-21,2.0319394915076154
2016-05-22,3.0970124654812796
